course_id,club_id,course_name,holes,par,course_type,course_architect,open_date,guest_policy,weekday_price,weekend_price,twilight_price,fairway,green,currency
USA-AL-00161-03,USA-AL-00161,The Short,18,54,Parkland,Robert Trent Jones Sr.,1992,Open,18,18,18,N/D,N/D,USD
USA-AL-00162-01,USA-AL-00162,Highlands,18,72,Parkland,Robert Trent Jones Sr.,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00162-02,USA-AL-00162,River,18,72,Parkland,Robert Trent Jones Sr.,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00162-03,USA-AL-00162,Short,18,54,Parkland,Robert Trent Jones Sr.,1992,Open,18,18,18,N/D,N/D,USD
USA-AL-00163-01,USA-AL-00163,Highlands/Marshwood,18,72,Parkland,Robert Trent Jones Sr.,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00163-02,USA-AL-00163,Magnolia/Highlands,18,72,Parkland,Robert Trent Jones Sr.,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00163-03,USA-AL-00163,Marshwood/Magnolia,18,72,Parkland,Robert Trent Jones Sr.,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00163-04,USA-AL-00163,Short,9,27,Parkland,Robert Trent Jones Sr.,1993,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00164-01,USA-AL-00164,Falls,18,71,Parkland,Robert Trent Jones Sr.,1992,Open,65,65,65,N/D,N/D,USD
USA-AL-00164-02,USA-AL-00164,Crossings,18,72,Parkland,Robert Trent Jones Sr.,1992,Open,65,65,65,N/D,N/D,USD
USA-AL-00164-03,USA-AL-00164,Short,18,54,Parkland,Robert Trent Jones Sr.,1992,Open,18,18,18,N/D,N/D,USD
USA-AL-00165-01,USA-AL-00165,Ridge,18,72,Parkland,Robert Trent Jones Sr.,1992,Open,65,65,65,N/D,N/D,USD
USA-AL-00165-02,USA-AL-00165,Short,18,54,Parkland,Robert Trent Jones Sr.,1992,Open,18,18,18,N/D,N/D,USD
USA-AL-00165-03,USA-AL-00165,Valley,18,72,Parkland,Robert Trent Jones Sr.,1992,Open,65,65,65,N/D,N/D,USD
USA-AL-00166-01,USA-AL-00166,Ross Bridge,18,72,Parkland,Robert Trent Jones Sr.,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00167-01,USA-AL-00167,Backbreaker/Mindbreaker,18,72,Parkland,Robert Trent Jones Sr.,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00167-02,USA-AL-00167,Heartbreaker/Backbreaker,18,72,Parkland,Robert Trent Jones Sr.,1993,Open,65,65,65,N/D,N/D,USD
